lat,lon,expiry_days_left,distance_mm,time_to_migrate_s,sample_volume_uL,sample_pH,sample_turbidity_NTU,sample_temp_C,ambient_T_C,ambient_RH_pct,lighting_lux,tilt_deg,preincubation_time_s,time_since_sampling_min,image_blur_score,tempo_transporte_horas,estimated_concentration_ppb,incerteza_estimativa_ppb,control_line_ok,controle_interno_result,result_class
-22.86292,-43.236546,478,19.56,540.8,65.8,7.57,11.5,25.2,24.1,72.6,327.8,0.3,23.0,80.2,0.0,8.82,24.16,3.15,1,2,negative
-22.861578,-43.229487,479,21.57,365.9,86.1,6.63,19.4,23.3,25.2,71.1,592.9,0.3,16.8,13.0,0.0,2.38,24.94,2.04,1,2,positive
-22.862098,-43.22699,113,24.8,212.6,84.2,6.92,32.9,15.5,22.1,84.3,286.6,4.0,13.3,18.1,0.0,33.37,25.96,3.21,1,2,positive
-22.876814,-43.216012,232,23.52,383.3,83.3,8.75,25.5,19.1,20.5,81.9,273.1,3.8,31.0,78.7,0.13,18.04,30.09,5.47,1,2,positive
-22.859179,-43.222012,251,10.5,286.3,61.2,6.87,2.3,20.8,21.5,50.9,263.9,0.0,31.8,18.1,0.281,6.56,7.94,1.09,1,2,negative
-22.875446,-43.222442,532,17.79,331.2,74.8,6.15,14.2,28.1,31.1,94.7,231.0,4.5,26.8,85.0,0.0,15.37,23.54,2.37,1,2,negative
-22.876918,-43.213685,238,24.36,474.8,70.9,7.25,30.0,22.2,31.6,58.0,389.3,5.0,32.3,93.5,0.145,10.28,33.25,4.59,1,2,positive
-22.871372,-43.22352,411,13.91,468.5,78.9,6.13,38.2,24.3,14.2,84.0,255.2,1.2,42.8,89.9,0.0,8.45,11.35,1.24,1,2,negative
-22.861256,-43.242643,161,20.13,315.0,79.6,6.22,7.8,28.0,25.4,90.3,511.5,4.2,24.6,14.0,0.302,8.88,24.12,4.41,1,2,negative
-22.867976,-43.224468,539,15.73,434.5,95.9,6.69,8.0,26.5,26.5,60.9,373.0,1.4,47.8,85.4,0.0,3.92,18.87,3.16,1,2,negative
-22.874198,-43.252458,426,17.8,402.8,86.8,6.29,20.8,23.3,29.5,60.0,301.6,3.7,41.3,16.5,0.0,23.39,21.31,3.07,1,2,negative
-22.864719,-43.230927,223,30.94,156.0,97.6,7.28,6.0,21.2,20.8,51.9,81.2,3.2,21.1,53.4,0.0,2.72,38.58,5.79,1,0,invalid
-22.893067,-43.404349,241,3.24,496.8,77.7,6.58,9.4,28.3,20.3,51.2,332.0,3.1,15.3,19.9,0.317,5.88,4.9,0.72,1,2,negative
-22.863673,-43.228644,468,28.03,242.1,70.5,6.9,14.6,20.2,25.2,50.8,380.6,1.4,39.0,23.2,0.23,6.25,34.07,5.39,1,2,positive
-22.875291,-43.243953,289,17.09,458.4,74.2,7.04,17.2,26.9,25.7,57.7,435.2,2.3,26.0,13.5,0.0,3.28,18.23,2.92,1,2,negative
-22.860134,-43.234927,395,23.57,591.0,52.8,9.48,7.4,25.2,30.3,47.1,479.5,2.1,31.9,148.6,0.188,12.88,28.73,5.38,1,2,positive
-22.975065,-43.224203,424,14.04,457.0,64.5,5.73,22.4,15.2,23.7,38.8,152.3,2.9,34.8,85.8,0.0,4.93,13.54,1.39,1,2,negative
-22.870297,-43.23973,76,18.03,424.1,64.3,8.73,20.9,21.7,23.5,59.7,236.5,0.5,14.9,80.1,0.0,4.31,19.76,2.38,1,2,negative
-22.884265,-43.222983,267,27.51,418.2,67.5,8.42,22.5,24.7,21.8,58.9,352.4,0.6,40.8,53.7,0.0,1.74,32.45,4.22,1,2,positive
-22.866865,-43.231584,424,23.49,493.0,67.4,7.62,15.0,25.0,21.0,67.0,321.8,4.1,30.4,43.4,0.0,2.4,26.02,1.99,1,2,positive
-22.859797,-43.222218,522,27.57,485.2,70.3,7.02,76.5,20.8,19.8,62.6,417.5,4.1,40.5,82.1,0.0,4.31,37.76,2.35,1,1,positive
-22.874434,-43.210985,269,25.18,440.2,75.2,6.13,5.4,22.4,26.5,75.4,333.8,0.9,34.5,28.3,0.0,21.66,32.24,2.71,1,2,positive
-22.980692,-43.235571,229,20.11,259.6,72.0,8.95,19.5,22.1,27.1,46.9,278.5,1.5,40.6,39.7,0.213,8.65,23.57,1.18,1,2,negative
-22.867493,-43.217799,284,16.47,569.2,78.5,6.89,12.2,21.4,26.6,62.1,286.2,0.5,39.0,58.2,0.0,3.58,16.01,1.51,1,2,negative
-22.863701,-43.224576,73,14.6,387.9,81.1,8.79,42.9,26.2,28.5,61.9,169.3,1.1,32.6,84.2,0.0,13.2,15.46,2.03,1,2,negative
-22.895901,-43.391005,131,25.18,339.4,80.7,7.18,37.8,17.8,33.1,59.5,126.2,1.8,31.8,64.1,0.0,14.54,31.17,5.49,1,2,positive
-22.857151,-43.221783,323,23.49,572.6,79.8,7.55,8.2,20.6,25.1,51.4,236.6,5.8,37.9,54.9,0.0,23.75,29.01,3.94,1,2,positive
-22.968822,-43.22825,315,13.7,492.1,70.2,7.45,7.7,22.5,19.3,60.1,396.6,4.4,21.3,67.2,0.092,11.76,11.37,1.41,1,2,negative
-22.867623,-43.227422,456,23.83,471.5,72.4,6.95,20.4,31.4,22.9,58.6,320.1,3.3,31.3,18.4,0.0,7.1,31.64,6.28,1,2,positive
-22.984403,-43.233909,188,20.02,446.4,56.2,6.99,2.7,19.6,25.5,79.9,161.7,3.3,42.0,7.6,0.0,8.33,24.14,2.19,1,2,negative
-22.861407,-43.223166,244,17.26,419.3,67.8,6.72,2.9,22.3,23.9,74.8,390.4,3.3,35.1,34.6,0.0,4.48,20.69,2.63,1,2,negative
